	Title	Authors	Number of URL Namespaces	Number of Regex Namespaces	Number of URL Annotations	Number of Regex Annotations	Number of Local Annotations	Number of Nodes	Number of Edges	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
tau/fatouros2012.bel	Inhibition of tau aggregation in a novel Caenorhabditis elegans model of tauopathy mitigates proteotoxicity	Esther Wollert	5	2	5	1	0	28	46	1	8	6.08E-02	1	0
tau/frandemiche2014.bel	Activity-dependent tau protein translocation to excitatory synapse is disrupted by exposure to amyloid-beta oligomers	Rana Aldisi, Sandra Spalek	5	0	3	0	0	26	74	1	8	1.14E-01	1	0
tau/joseph2017.bel	Anti-aggregant tau mutant promotes neurogenesis	Sandra Spalek, Esther Wollert	15	4	10	1	0	20	53	1	5	1.39E-01	1	0
tau/kanaan2011.bel	Pathogenic forms of tau inhibit kinesin-dependent axonal transport through a mechanism involving activation of axonal phosphotransferases.	Lingling Xu	4	0	3	0	0	22	48	1	10	1.04E-01	1	0
tau/kaniyappan2017.bel	Extracellular low-n oligomers of tau cause selective synaptotoxicity without affecting cell viability	Sandra Spalek, Esther Wollert	15	4	11	1	0	37	54	1	4	4.05E-02	1	0
tau/lee2013.bel	Tau degradation: the ubiquitin-proteasome system versus the autophagy-lysosome system.	Esther Wollert, Sandra Spalek	8	1	3	0	0	64	116	1	3	2.88E-02	1	0
tau/martini‐stoica2018.bel	TFEB enhances astroglial uptake of extracellular tau species and reduces tau spreading	Lingling Xu, Sandra Spalek	7	0	3	1	0	37	60	1	12	4.50E-02	1	0
tau/mirbaha2015.bel	Tau Trimers Are the Minimal Propagation Unit Spontaneously Internalized to Seed Intracellular Aggregation	Esther Wollert, Sandra Spalek	5	0	3	0	0	14	25	1	5	1.37E-01	2	0
tau/mirbaha2018.bel	Inert and seed-competent tau monomers suggest structural origins of aggregation	Esther Wollert, Sandra Spalek	4	1	3	0	0	10	15	1	12	1.67E-01	1	0
tau/miyata2011.bel	Molecular chaperones and regulation of tau quality control: strategies for drug discovery in tauopathies	Sandra Spalek	7	1	6	1	0	119	236	1	5	1.68E-02	2	0
tau/musi2018.bel	Tau protein aggregation is associated with cellular senescence in the brain	Sandra Spalek	13	1	10	0	0	77	152	1	7	2.60E-02	2	0
tau/nobuhara2017.bel	Tau Antibody Targeting Pathological Species Blocks Neuronal Uptake and Interneuron Propagation of Tau in Vitro	Rana Aldisi, Sandra Spalek	5	0	4	1	1	19	48	1	21	1.40E-01	1	0
tau/paris2014.bel	The Spleen Tyrosine Kinase (Syk) Regulates Alzheimer Amyloid-β Production and Tau Hyperphosphorylation*	Sandra Spalek, Esther Wollert	15	4	11	1	0	50	119	1	9	4.86E-02	1	0
tau/park2012.bel	Neuropathogenic role of adenylate kinase-1 in Aβ-mediated tau phosphorylation via AMPK and GSK3β.	Lingling Xu, Sandra Spalek	7	0	3	1	0	39	104	1	8	7.02E-02	2	0
tau/pickhardt2018.bel	Screening of a neuronal cell model of Tau pathology for therapeutic compounds	Esther Wollert, Sandra Spalek	5	1	1	0	0	62	105	1	8	2.78E-02	1	0
tau/pir2017.bel	Caenorhabditis elegans models of tauopathy	Sandra Spalek, Esther Wollert	15	4	11	1	0	112	187	1	3	1.50E-02	1	0
tau/rauch2018.bel	Tau Internalization is Regulated by 6-O Sulfation on Heparan Sulfate Proteoglycans (HSPGs)	Sandra Spalek	15	4	10	1	0	28	61	1	9	8.07E-02	3	0
tau/ryan2019.bel	The O-GlcNAc modification protects against protein misfolding and aggregation in neurodegenerative disease	Sandra Spalek	10	1	5	1	0	117	217	1	7	1.60E-02	3	0
tau/saidi2015.bel	Carboxy terminus heat shock protein 70 interacting protein reduces tau-associated degenerative changes	Sandra Spalek, Esther Wollert	15	4	11	1	0	52	115	1	7	4.34E-02	1	0
tau/schweig2017.bel	Alzheimer's disease pathological lesions activate the spleen tyrosine kinase.	Esther Wollert, Sandra Spalek	5	0	6	1	0	25	63	1	8	1.05E-01	1	0
tau/shafiei2017.bel	Tau oligomers-Cytotoxicity, propagation, and mitochondrial damage	Sandra Spalek and Charles Tapley Hoyt	6	0	4	0	1	69	134	1	3	2.86E-02	1	0
tau/shelton2017.bel	Imbalances in the Hsp90 Chaperone Machinery: Implications for Tauopathies	Esther Wollert, Sandra Spalek	7	1	5	1	0	106	208	1	3	1.87E-02	3	0
tau/simic2016.bel	Tau Protein Hyperphosphorylation and Aggregation in Alzheimer’s Disease and Other Tauopathies, and Possible Neuroprotective Strategies	Kristian Kolpeja, Esther Wollert	14	3	10	1	1	113	217	1	12	1.71E-02	4	0
tau/takeda2015.bel	Neuronal uptake and propagation of a rare phosphorylated high-molecular-weight tau derived from Alzheimer’s disease brain	Esther Wollert, Sandra Spalek	5	0	2	1	0	19	38	1	15	1.11E-01	1	0
tau/tarasoffconway2015.bel	Clearance systems in the brain-implications for Alzheimer disease.	Lingling Xu, Esther Wollert	13	1	10	1	0	95	173	1	16	1.94E-02	3	12
tau/tiernan2016.bel	Pseudophosphorylation of tau at S422 enhances SDS-stable dimer formation and impairs both anterograde and retrograde fast axonal transport.	Rana Aldisi, Esther Wollert	4	0	3	0	0	12	30	1	7	2.27E-01	1	0
tau/wang2015.bel	Tau in physiology and pathology	Sandra Spalek, Esther Wollert	6	1	3	1	0	174	429	1	2	1.43E-02	2	0
tau/ward2012.bel	Tau oligomers and tau toxicity in neurodegenerative disease	Sandra Spalek	6	0	2	0	1	30	63	1	4	7.24E-02	1	0
tau/xin2018.bel	Clearance of Amyloid Beta and Tau in Alzheimer’s Disease:from Mechanisms to Therapy	Sandra Spalek	15	4	10	1	0	146	281	1	4	1.33E-02	1	5
tau/yamada2017.bel	Extracellular Tau and Its Potential Role in the Propagation of Tau Pathology	Lingling Xu, Esther Wollert	5	1	3	1	0	38	48	1	1	3.41E-02	2	0
tau/yamada2018.bel	The sulfation code for propagation of neurodegeneration	Sandra Spalek	6	0	3	0	0	30	50	1	2	5.75E-02	1	0
tau/taubase/tau_biochemistry.bel	Tau Biochemistry	Kristian Kolpeja	8	0	5	1	5	104	196	6	48	1.83E-02	2	0
tau/taubase/tau_interaction_partners.bel	Tau and Interaction Partners	Kristian Kolpeja	11	1	6	1	4	185	514	29	153	1.51E-02	2	0
tau/taubase/tau_mitochondria.bel	Tau Effect on Mitochondria	Kristian Kolpeja, Sandra Spalek	15	4	11	1	2	45	117	1	6	5.91E-02	1	0
tau/taubase/tau_modifications.bel	Tau Modifications	Kristian Kolpeja, Esther Wollert, Sandra Spalek	13	5	8	1	22	1054	2694	188	1202	2.43E-03	4	0
tardbp/ayala2008.bel	TDP-43 regulates retinoblastoma protein phosphorylation through the repression of cyclin-dependent kinase 6 expression.	Yojana Gadiya	8	3	4	2	0	87	164	1	3	2.19E-02	3	0
tardbp/chang2013.bel	Molecular mechanism of oxidation-induced TDP-43 RRM1 aggregation and loss of function.	Yojana Gadiya	6	2	2	2	0	32	59	1	5	5.95E-02	1	0
tardbp/monahan2016.bel	Stress granules at the intersection of autophagy and ALS	Sandra Spalek	7	0	5	1	0	129	270	1	3	1.64E-02	3	0
tardbp/paolicelli2017.bel	TDP-43 Depletion in Microglia Promotes Amyloid Clearance but Also Induces Synapse Loss.	Yojana Gadiya	9	3	5	1	0	62	93	1	14	2.46E-02	1	0
tardbp/prasad2019.bel	Molecular Mechanisms of TDP-43 Misfolding and Pathology in Amyotrophic Lateral Sclerosis.	Yojana Gadiya	10	4	11	1	0	320	719	1	5	7.04E-03	1	22
tardbp/uchino2015.bel	Incidence and extent of TDP-43 accumulation in aging human brain	Yojana Gadiya	8	4	11	1	0	9	15	1	10	2.08E-01	1	0
tardbp/xia2016.bel	TDP-43 loss of function increases TFEB activity and blocks autophagosome–lysosome fusion	Sandra Spalek	5	0	3	1	0	92	197	1	11	2.35E-02	1	0
inflammasome/heneka2017.bel	Inflammasome activation and innate immunity in Alzheimer’s disease	Sandra Spalek	13	2	10	0	0	24	41	1	1	7.43E-02	1	0
inflammasome/latz2013.bel	Activation and regulation of the inflammasomes	Esther Wollert	13	0	10	0	0	124	187	1	3	1.23E-02	6	0
inflammasome/liu2014.bel	The role of inflammasome in Alzheimer’s disease	Sandra Spalek	13	3	10	0	0	70	168	1	2	3.48E-02	2	0
inflammasome/olsen2016.bel	Inﬂammasome Involvement in Alzheimer’s Disease	Esther Wollert	13	2	10	0	0	46	88	1	2	4.25E-02	2	0
inflammasome/pape2019.bel	Immunoneuropsychiatry — novel perspectives on brain disorders	Trusha Adeshara	11	1	7	1	0	204	338	1	4	8.16E-03	7	0
inflammasome/paul2000.bel	Myeloid specific human CD33 is an inhibitory receptor with differential ITIM function in recruiting the phosphatases SHP-1 and SHP-2.	Yojana Gadiya	5	1	2	1	0	75	156	1	4	2.81E-02	1	0
