	Name	Version	Authors	Number of Nodes	Number of Namespaces	Number of Edges	Number of Annotations	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings	Author
tau/dennissen2016.bel	Adenosine A1 receptor antagonist 64627 alleviates axonopathy caused by human Tau ΔK280	1.0.0		39	8	85	4	1	5	5.74E-02	1	8	Sandra Spalek
tau/despres2017.bel	Identification of the Tau phosphorylation pattern that drives its aggregation	1.0.1		12	4	21	3	1	11	1.59E-01	1	0	Kristian Kolpeja
tau/evans2018.bel	Extracellular Monomeric and Aggregated Tau Efficiently Enter Human Neurons through Overlapping but Distinct Pathways	1.0.1		19	5	63	1	1	7	1.84E-01	2	0	Sandra Spalek
tau/fatouros2012.bel	Inhibition of tau aggregation in a novel Caenorhabditis elegans model of tauopathy mitigates proteotoxicity	1.0.1		28	8	46	6	1	8	6.08E-02	1	0	Esther Wollert
tau/frandemiche2014.bel	Activity-dependent tau protein translocation to excitatory synapse is disrupted by exposure to amyloid-beta oligomers	1.0.1	Rana Aldisi, Sandra Spalek	26	6	74	3	1	8	1.14E-01	1	0	
tau/joseph2017.bel	Anti-aggregant tau mutant promotes neurogenesis	1.0.1	Sandra Spalek, Esther Wollert	20	5	53	5	1	5	1.39E-01	1	0	
tau/kanaan2011.bel	Pathogenic forms of tau inhibit kinesin-dependent axonal transport through a mechanism involving activation of axonal phosphotransferases.	1.0.1		22	5	48	3	1	10	1.04E-01	1	0	Lingling Xu
tau/kaniyappan2017.bel	Extracellular low-n oligomers of tau cause selective synaptotoxicity without affecting cell viability	1.0.1	Sandra Spalek, Esther Wollert	37	6	54	5	1	4	4.05E-02	1	0	
tau/lee2013.bel	Tau degradation: the ubiquitin-proteasome system versus the autophagy-lysosome system.	1.0.1	Esther Wollert, Sandra Spalek	64	10	116	3	1	3	2.88E-02	1	0	
tau/martini‐stoica2018.bel	TFEB enhances astroglial uptake of extracellular tau species and reduces tau spreading	1.0.1	Lingling Xu, Sandra Spalek	37	8	60	4	1	12	4.50E-02	1	0	
tau/mirbaha2015.bel	Tau Trimers Are the Minimal Propagation Unit Spontaneously Internalized to Seed Intracellular Aggregation	1.0.1	Esther Wollert, Sandra Spalek	14	6	25	3	1	5	1.37E-01	2	0	
tau/mirbaha2018.bel	Inert and seed-competent tau monomers suggest structural origins of aggregation	1.0.0	Esther Wollert, Sandra Spalek	10	5	15	3	1	12	1.67E-01	1	0	
tau/miyata2011.bel	Molecular chaperones and regulation of tau quality control: strategies for drug discovery in tauopathies	1.0.0		119	9	236	5	1	5	1.68E-02	2	0	Sandra Spalek
tau/musi2018.bel	Tau protein aggregation is associated with cellular senescence in the brain	1.0.0		77	8	152	3	1	7	2.60E-02	2	0	Sandra Spalek
tau/nobuhara2017.bel	Tau Antibody Targeting Pathological Species Blocks Neuronal Uptake and Interneuron Propagation of Tau in Vitro	1.0.1	Rana Aldisi, Sandra Spalek	19	6	48	6	1	21	1.40E-01	1	0	
tau/paris2014.bel	The Spleen Tyrosine Kinase (Syk) Regulates Alzheimer Amyloid-β Production and Tau Hyperphosphorylation*	1.0.1	Sandra Spalek, Esther Wollert	50	9	119	3	1	9	4.86E-02	1	0	
tau/park2012.bel	Neuropathogenic role of adenylate kinase-1 in Aβ-mediated tau phosphorylation via AMPK and GSK3β.	1.0.1	Lingling Xu, Sandra Spalek	39	8	104	4	1	8	7.02E-02	2	0	
tau/pickhardt2018.bel	Screening of a neuronal cell model of Tau pathology for therapeutic compounds	1.0.1	Esther Wollert, Sandra Spalek	62	6	105	1	1	8	2.78E-02	1	0	
tau/pir2017.bel	Caenorhabditis elegans models of tauopathy	1.0.1	Sandra Spalek, Esther Wollert	112	8	187	4	1	3	1.50E-02	1	0	
tau/rauch2018.bel	Tau Internalization is Regulated by 6-O Sulfation on Heparan Sulfate Proteoglycans (HSPGs)	1.0.1		28	6	61	2	1	9	8.07E-02	3	0	Sandra Spalek
tau/ryan2019.bel	The O-GlcNAc modification protects against protein misfolding and aggregation in neurodegenerative disease	1.0.0		117	12	217	6	1	7	1.60E-02	3	0	Sandra Spalek
tau/saidi2015.bel	Carboxy terminus heat shock protein 70 interacting protein reduces tau-associated degenerative changes	1.0.0	Sandra Spalek, Esther Wollert	52	9	115	4	1	7	4.34E-02	1	0	
tau/schweig2017.bel	Alzheimer's disease pathological lesions activate the spleen tyrosine kinase.	1.0.1	Esther Wollert, Sandra Spalek	25	6	63	7	1	8	1.05E-01	1	0	
tau/shafiei2017.bel	Tau oligomers-Cytotoxicity, propagation, and mitochondrial damage	1.0.0		69	7	134	5	1	3	2.86E-02	1	0	Sandra Spalek and Charles Tapley Hoyt
tau/shelton2017.bel	Imbalances in the Hsp90 Chaperone Machinery: Implications for Tauopathies	1.0.1	Esther Wollert, Sandra Spalek	106	9	208	6	1	3	1.87E-02	3	0	
tau/simic2016.bel	Tau Protein Hyperphosphorylation and Aggregation in Alzheimer’s Disease and Other Tauopathies, and Possible Neuroprotective Strategies	1.0.0	Kristian Kolpeja, Esther Wollert	113	11	217	5	1	12	1.71E-02	4	0	
tau/takeda2015.bel	Neuronal uptake and propagation of a rare phosphorylated high-molecular-weight tau derived from Alzheimer’s disease brain	1.0.2	Esther Wollert, Sandra Spalek	19	6	38	3	1	15	1.11E-01	1	0	
tau/tarasoffconway2015.bel	Clearance systems in the brain-implications for Alzheimer disease.	1.0.1	Lingling Xu, Esther Wollert	95	7	173	4	1	16	1.94E-02	3	12	
tau/tiernan2016.bel	Pseudophosphorylation of tau at S422 enhances SDS-stable dimer formation and impairs both anterograde and retrograde fast axonal transport.	1.0.0	Rana Aldisi, Esther Wollert	12	5	30	3	1	7	2.27E-01	1	0	
tau/wang2015.bel	Tau in physiology and pathology	1.0.0	Sandra Spalek, Esther Wollert	174	8	429	4	1	2	1.43E-02	2	0	
tau/ward2012.bel	Tau oligomers and tau toxicity in neurodegenerative disease	1.0.0		30	7	63	3	1	4	7.24E-02	1	0	Sandra Spalek
tau/xin2018.bel	Clearance of Amyloid Beta and Tau in Alzheimer’s Disease:from Mechanisms to Therapy	1.0.1		146	8	281	5	1	4	1.33E-02	1	5	Sandra Spalek
tau/yamada2017.bel	Extracellular Tau and Its Potential Role in the Propagation of Tau Pathology	1.0.0	Lingling Xu, Esther Wollert	38	6	48	4	1	1	3.41E-02	2	0	
tau/yamada2018.bel	The sulfation code for propagation of neurodegeneration	1.0.0		30	7	50	3	1	2	5.75E-02	1	0	Sandra Spalek
tau/taubase/tau_biochemistry.bel	Tau Biochemistry	1.2.5		104	8	196	11	6	48	1.83E-02	2	0	Kristian Kolpeja
tau/taubase/tau_interaction_partners.bel	Tau and Interaction Partners	1.2.5		185	11	514	11	29	153	1.51E-02	2	0	Kristian Kolpeja
tau/taubase/tau_mitochondria.bel	Tau Effect on Mitochondria	1.0.3	Kristian Kolpeja, Sandra Spalek	45	6	117	5	1	6	5.91E-02	1	0	
tau/taubase/tau_modifications.bel	Tau Modifications	1.9.5	Kristian Kolpeja, Esther Wollert, Sandra Spalek	1054	17	2694	31	188	1202	2.43E-03	4	0	
tardbp/ayala2008.bel	TDP-43 regulates retinoblastoma protein phosphorylation through the repression of cyclin-dependent kinase 6 expression.	1.0.0		87	11	164	6	1	3	2.19E-02	3	0	Yojana Gadiya
tardbp/chang2013.bel	Molecular mechanism of oxidation-induced TDP-43 RRM1 aggregation and loss of function.	1.0.0		32	8	59	3	1	5	5.95E-02	1	0	Yojana Gadiya
tardbp/monahan2016.bel	Stress granules at the intersection of autophagy and ALS	1.0.0		129	8	270	6	1	3	1.64E-02	3	0	Sandra Spalek
tardbp/paolicelli2017.bel	TDP-43 Depletion in Microglia Promotes Amyloid Clearance but Also Induces Synapse Loss.	1.0.0		62	12	93	6	1	14	2.46E-02	1	0	Yojana Gadiya
tardbp/prasad2019.bel	Molecular Mechanisms of TDP-43 Misfolding and Pathology in Amyotrophic Lateral Sclerosis.	1.0.0		320	11	719	7	1	5	7.04E-03	1	22	Yojana Gadiya
tardbp/uchino2015.bel	Incidence and extent of TDP-43 accumulation in aging human brain	1.0.0		9	3	15	6	1	10	2.08E-01	1	0	Yojana Gadiya
tardbp/xia2016.bel	TDP-43 loss of function increases TFEB activity and blocks autophagosome–lysosome fusion	1.0.0		92	6	197	4	1	11	2.35E-02	1	0	Sandra Spalek
inflammasome/heneka2017.bel	Inflammasome activation and innate immunity in Alzheimer’s disease	1.0.2		24	7	41	3	1	1	7.43E-02	1	0	Sandra Spalek
inflammasome/latz2013.bel	Activation and regulation of the inflammasomes	1.0.0		124	7	187	3	1	3	1.23E-02	6	0	Esther Wollert
inflammasome/liu2014.bel	The role of inflammasome in Alzheimer’s disease	1.0.3		70	9	168	5	1	2	3.48E-02	2	0	Sandra Spalek
inflammasome/olsen2016.bel	Inﬂammasome Involvement in Alzheimer’s Disease	1.0.0		46	7	88	4	1	2	4.25E-02	2	0	Esther Wollert
inflammasome/pape2019.bel	Immunoneuropsychiatry — novel perspectives on brain disorders	1.0.0		204	11	338	8	1	4	8.16E-03	7	0	Trusha Adeshara
inflammasome/paul2000.bel	Myeloid specific human CD33 is an inhibitory receptor with differential ITIM function in recruiting the phosphatases SHP-1 and SHP-2.	1.0.0		75	7	156	2	1	4	2.81E-02	1	0	Yojana Gadiya
